JobId,ArrayId,Program,Nodes,Tasks,MaxThreads,Particles,DiffCoeff,TimeStep,EndTime,WallTime
7496,1,hybrid,2,2,1,12800,1.5,0.001,10.0,15.802
7496,2,hybrid,2,2,1,128000,1.5,0.001,10.0,90.292
7491,6,hybrid,1,8,2,1280000,1.5,0.001,100.0,1953.484
7494,6,hybrid,1,16,2,1280000,1.5,0.001,100.0,1066.572
7496,4,hybrid,2,2,1,12800,1.5,0.001,100.0,143.232
7496,3,hybrid,2,2,1,1280000,1.5,0.001,10.0,836.224
7495,6,hybrid,1,32,1,1280000,1.5,0.001,100.0,1132.594
7487,6,hybrid,1,4,2,1280000,1.5,0.001,100.0,3472.566
7497,1,hybrid,2,2,2,12800,1.5,0.001,10.0,13.675
7497,2,hybrid,2,2,2,128000,1.5,0.001,10.0,66.863
7493,6,hybrid,1,16,1,1280000,1.5,0.001,100.0,2195.580
7490,6,hybrid,1,8,1,1280000,1.5,0.001,100.0,3489.571
7497,3,hybrid,2,2,2,1280000,1.5,0.001,10.0,619.953
7496,5,hybrid,2,2,1,128000,1.5,0.001,100.0,884.638
7497,4,hybrid,2,2,2,12800,1.5,0.001,100.0,119.333
7498,1,hybrid,2,2,4,12800,1.5,0.001,10.0,10.019
7498,2,hybrid,2,2,4,128000,1.5,0.001,10.0,38.583
7498,3,hybrid,2,2,4,1280000,1.5,0.001,10.0,320.397
7498,4,hybrid,2,2,4,12800,1.5,0.001,100.0,92.585
7497,5,hybrid,2,2,2,128000,1.5,0.001,100.0,665.904
7482,6,hybrid,1,2,2,1280000,1.5,0.001,100.0,7033.280
7498,5,hybrid,2,2,4,128000,1.5,0.001,100.0,371.874
7499,1,hybrid,2,2,8,12800,1.5,0.001,10.0,8.765
7499,2,hybrid,2,2,8,128000,1.5,0.001,10.0,24.070
7499,3,hybrid,2,2,8,1280000,1.5,0.001,10.0,181.074
7499,4,hybrid,2,2,8,12800,1.5,0.001,100.0,78.593
7499,5,hybrid,2,2,8,128000,1.5,0.001,100.0,231.034
7486,6,hybrid,1,4,1,1280000,1.5,0.001,100.0,6348.647
7500,1,hybrid,2,2,16,12800,1.5,0.001,10.0,8.107
7500,2,hybrid,2,2,16,128000,1.5,0.001,10.0,16.594
7500,3,hybrid,2,2,16,1280000,1.5,0.001,10.0,101.346
7500,4,hybrid,2,2,16,12800,1.5,0.001,100.0,70.445
7500,5,hybrid,2,2,16,128000,1.5,0.001,100.0,153.296
7500,6,hybrid,2,2,16,1280000,1.5,0.001,100.0,994.349
7501,1,hybrid,2,2,32,12800,1.5,0.001,10.0,7.348
7501,2,hybrid,2,2,32,128000,1.5,0.001,10.0,12.094
7501,3,hybrid,2,2,32,1280000,1.5,0.001,10.0,54.051
7501,4,hybrid,2,2,32,12800,1.5,0.001,100.0,64.412
7501,5,hybrid,2,2,32,128000,1.5,0.001,100.0,108.578
7499,6,hybrid,2,2,8,1280000,1.5,0.001,100.0,1765.592
7502,1,hybrid,2,4,1,12800,1.5,0.001,10.0,13.053
7502,2,hybrid,2,4,1,128000,1.5,0.001,10.0,68.116
7501,6,hybrid,2,2,32,1280000,1.5,0.001,100.0,529.532
7498,6,hybrid,2,2,4,1280000,1.5,0.001,100.0,3171.583
7502,4,hybrid,2,4,1,12800,1.5,0.001,100.0,122.570
7502,3,hybrid,2,4,1,1280000,1.5,0.001,10.0,640.082
7503,1,hybrid,2,4,2,12800,1.5,0.001,10.0,10.795
7503,2,hybrid,2,4,2,128000,1.5,0.001,10.0,38.288
7503,3,hybrid,2,4,2,1280000,1.5,0.001,10.0,321.829
7503,4,hybrid,2,4,2,12800,1.5,0.001,100.0,92.594
7502,5,hybrid,2,4,1,128000,1.5,0.001,100.0,665.598
7503,5,hybrid,2,4,2,128000,1.5,0.001,100.0,378.576
7504,1,hybrid,2,4,4,12800,1.5,0.001,10.0,8.992
7504,2,hybrid,2,4,4,128000,1.5,0.001,10.0,24.014
7504,3,hybrid,2,4,4,1280000,1.5,0.001,10.0,177.950
7504,4,hybrid,2,4,4,12800,1.5,0.001,100.0,78.588
7504,5,hybrid,2,4,4,128000,1.5,0.001,100.0,231.603
7481,6,hybrid,1,2,1,1280000,1.5,0.001,100.0,12120.526
7497,6,hybrid,2,2,2,1280000,1.5,0.001,100.0,6251.690
7505,1,hybrid,2,4,8,12800,1.5,0.001,10.0,8.082
7505,2,hybrid,2,4,8,128000,1.5,0.001,10.0,16.396
7505,3,hybrid,2,4,8,1280000,1.5,0.001,10.0,102.109
7505,4,hybrid,2,4,8,12800,1.5,0.001,100.0,69.293
7505,5,hybrid,2,4,8,128000,1.5,0.001,100.0,155.597
7504,6,hybrid,2,4,4,1280000,1.5,0.001,100.0,1773.895
7506,1,hybrid,2,4,16,12800,1.5,0.001,10.0,8.214
7506,2,hybrid,2,4,16,128000,1.5,0.001,10.0,12.035
7506,3,hybrid,2,4,16,1280000,1.5,0.001,10.0,54.332
7506,4,hybrid,2,4,16,12800,1.5,0.001,100.0,65.631
7506,5,hybrid,2,4,16,128000,1.5,0.001,100.0,107.606
7496,6,hybrid,2,2,1,1280000,1.5,0.001,100.0,8298.616
7507,1,hybrid,2,8,1,12800,1.5,0.001,10.0,10.854
7507,2,hybrid,2,8,1,128000,1.5,0.001,10.0,38.480
7505,6,hybrid,2,4,8,1280000,1.5,0.001,100.0,995.661
7503,6,hybrid,2,4,2,1280000,1.5,0.001,100.0,3185.607
7507,4,hybrid,2,8,1,12800,1.5,0.001,100.0,92.629
7507,3,hybrid,2,8,1,1280000,1.5,0.001,10.0,325.824
7508,1,hybrid,2,8,2,12800,1.5,0.001,10.0,12.920
7506,6,hybrid,2,4,16,1280000,1.5,0.001,100.0,528.552
7508,2,hybrid,2,8,2,128000,1.5,0.001,10.0,24.331
